"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"e:\flutter_projects\flutter_excel_workshop\analysis_options.yaml", "YAML", -3, 0, 0, -23, -4, -30
"e:\flutter_projects\flutter_excel_workshop\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 9, 0, 1, 10
"e:\flutter_projects\flutter_excel_workshop\lib\circle_progre_bar.dart", "Dart", 0, 48, 0, 0, 8, 56
"e:\flutter_projects\flutter_excel_workshop\lib\cutom_components\custom_circle_progress_indicator.dart", "Dart", 0, 110, 0, 4, 9, 123
"e:\flutter_projects\flutter_excel_workshop\lib\dene_main.dart", "Dart", 0, 301, 0, 18, 24, 343
"e:\flutter_projects\flutter_excel_workshop\lib\esh_activity_index.dart", "Dart", 0, 22, 0, 0, 3, 25
"e:\flutter_projects\flutter_excel_workshop\lib\excel_manager.dart", "Dart", 0, 180, 0, 4, 39, 223
"e:\flutter_projects\flutter_excel_workshop\lib\main.dart", "Dart", 0, -460, 0, -88, -202, -750
"e:\flutter_projects\flutter_excel_workshop\lib\pdf_manager.dart", "Dart", 0, 598, 0, 105, 240, 943
"e:\flutter_projects\flutter_excel_workshop\pubspec.yaml", "YAML", 10, 0, 0, -2, 0, 8
"Total", "-", 7, 799, 9, 18, 118, 951